Postal,FIPS,County,county seats,Population,Land Area,Land Area,Water Area,Water Area,Total Area,Total Area,latitude,longitude
AL,1001,Autauga,Prattville,"54,571","1,539.58",594.436,25.776,9.952,"1,565.36",604.388,32.536382,–86.644490
AL,1003,Baldwin,Bay Minette,"182,265","4,117.52","1,589.78","1,133.19",437.527,"5,250.71","2,027.31",30.659218,–87.746067
AL,1005,Barbour,Clayton,"27,457","2,291.82",884.876,50.865,19.639,"2,342.68",904.515,31.87067,–85.405456
AL,1007,Bibb,Centreville,"22,915","1,612.48",622.582,9.289,3.587,"1,621.77",626.169,33.015893,–87.127148
AL,1009,Blount,Oneonta,"57,322","1,669.96",644.776,15.157,5.852,"1,685.12",650.628,33.977448,–86.567246
AL,1011,Bullock,Union Springs,"10,914","1,613.06",622.805,6.057,2.338,"1,619.11",625.143,32.101759,–85.717261
AL,1013,Butler,Greenville,"20,947","2,011.98",776.829,2.727,1.053,"2,014.70",777.882,31.751667,–86.681969
AL,1015,Calhoun,Anniston,"118,572","1,569.19",605.868,16.624,6.419,"1,585.81",612.287,33.771706,–85.822513
AL,1017,Chambers,Lafayette,"34,215","1,545.01",596.531,17.048,6.582,"1,562.06",603.113,32.917943,–85.391812
AL,1019,Cherokee,Centre,"25,989","1,434.08",553.7,119.859,46.278,"1,553.94",599.978,34.069515,–85.654242
AL,1021,Chilton,Clanton,"43,643","1,794.48",692.854,20.586,7.948,"1,815.07",700.802,32.85406,–86.726628
AL,1023,Choctaw,Butler,"13,859","2,365.96",913.5,19.059,7.359,"2,385.01",920.859,31.991008,–88.248887
AL,1025,Clarke,Grove Hill,"25,833","3,207.61","1,238.47",36.543,14.109,"3,244.15","1,252.57",31.685521,–87.818624
AL,1027,Clay,Ashland,"13,932","1,564.25",603.961,5.285,2.04,"1,569.54",606.001,33.267809,–85.862051
AL,1029,Cleburne,Heflin,"14,972","1,450.65",560.1,2.366,0.913,"1,453.02",561.013,33.671981,–85.516109
AL,1031,Coffee,"Elba, Enterprise","49,948","1,758.53",678.972,3.945,1.523,"1,762.47",680.495,31.402183,–85.989201
AL,1033,Colbert,Tuscumbia,"54,428","1,534.88",592.619,76.431,29.51,"1,611.31",622.129,34.703112,–87.801457
AL,1035,Conecuh,Evergreen,"13,228","2,201.90",850.156,6.645,2.566,"2,208.54",852.722,31.428293,–86.992029
AL,1037,Coosa,Rockford,"11,539","1,685.89",650.926,39.947,15.423,"1,725.84",666.349,32.931445,–86.243482
AL,1039,Covington,Andalusia,"37,765","2,668.87","1,030.46",34.526,13.331,"2,703.40","1,043.79",31.243987,–86.448721
AL,1041,Crenshaw,Luverne,"13,906","1,576.89",608.84,5.376,2.076,"1,582.26",610.916,31.732826,–86.319222
AL,1043,Cullman,Cullman,"80,406","1,903.23",734.841,52.267,20.18,"1,955.50",755.021,34.131923,–86.869267
AL,1045,Dale,Ozark,"50,251","1,453.37",561.15,4.016,1.551,"1,457.39",562.701,31.430654,–85.609476
AL,1047,Dallas,Selma,"43,820","2,534.81",978.695,39.135,15.11,"2,573.94",993.805,32.33354,–87.114356
AL,1049,DeKalb,Fort Payne,"71,109","2,012.66",777.093,4.124,1.592,"2,016.79",778.685,34.460929,–85.803992
AL,1051,Elmore,Wetumpka,"79,303","1,601.87",618.485,99.863,38.557,"1,701.73",657.042,32.597229,–86.142739
AL,1053,Escambia,Brewton,"38,319","2,447.75",945.08,20.873,8.059,"2,468.62",953.139,31.121748,–87.168429
AL,1055,Etowah,Gadsden,"104,430","1,385.62",534.991,35.323,13.638,"1,420.94",548.629,34.047638,–86.034420
AL,1057,Fayette,Fayette,"17,241","1,625.63",627.66,4.393,1.696,"1,630.02",629.356,33.732249,–87.752049
AL,1059,Franklin,Russellville,"31,704","1,641.59",633.821,32.898,12.702,"1,674.49",646.523,34.441988,–87.842815
AL,1061,Geneva,Geneva,"26,790","1,487.71",574.408,11.765,4.543,"1,499.48",578.951,31.090866,–85.824346
AL,1063,Greene,Eutaw,"9,045","1,676.01",647.11,33.231,12.831,"1,709.24",659.941,32.844497,–87.964201
AL,1065,Hale,Greensboro,"15,760","1,667.80",643.943,32.526,12.558,"1,700.33",656.501,32.752796,–87.623061
AL,1067,Henry,Abbeville,"17,302","1,454.93",561.75,16.987,6.559,"1,471.91",568.309,31.516978,–85.239971
AL,1069,Houston,Dothan,"101,547","1,501.74",579.824,4.74,1.83,"1,506.48",581.654,31.158193,–85.296398
AL,1071,Jackson,Scottsboro,"53,227","2,791.67","1,077.87",126.657,48.903,"2,918.32","1,126.77",34.763522,–85.977400
AL,1073,Jefferson,Birmingham,"658,466","2,878.19","1,111.28",32.474,12.538,"2,910.67","1,123.81",33.553444,–86.896536
AL,1075,Lamar,Vernon,"14,564","1,566.55",604.846,1.601,0.618,"1,568.15",605.464,33.787085,–88.087431
AL,1077,Lauderdale,Florence,"92,709","1,729.33",667.697,138.027,53.293,"1,867.36",720.99,34.904122,–87.650997
AL,1079,Lawrence,Moulton,"34,339","1,788.85",690.678,68.688,26.521,"1,857.54",717.199,34.529776,–87.321865
AL,1081,Lee,Opelika,"140,247","1,573.51",607.536,21.53,8.313,"1,595.04",615.849,32.604064,–85.353048
AL,1083,Limestone,Athens,"82,782","1,450.23",559.936,122.382,47.252,"1,572.61",607.188,34.810239,–86.981400
AL,1085,Lowndes,Hayneville,"11,299","1,854.20",715.911,23.724,9.16,"1,877.92",725.071,32.147888,–86.650586
AL,1087,Macon,Tuskegee,"21,452","1,577.01",608.885,11.194,4.322,"1,588.20",613.207,32.387027,–85.692887
AL,1089,Madison,Huntsville,"334,811","2,076.12",801.593,28.771,11.109,"2,104.89",812.702,34.764238,–86.551080
AL,1091,Marengo,Linden,"21,027","2,530.11",976.882,14.995,5.789,"2,545.11",982.671,32.247591,–87.791091
AL,1093,Marion,Hamilton,"30,776","1,922.53",742.292,3.313,1.279,"1,925.84",743.571,34.138219,–87.881551
AL,1095,Marshall,Guntersville,"93,019","1,465.52",565.842,148.503,57.337,"1,614.03",623.179,34.309564,–86.321668
AL,1097,Mobile,Mobile,"412,992","3,184.22","1,229.44","1,073.75",414.577,"4,257.97","1,644.01",30.684573,–88.196568
AL,1099,Monroe,Monroeville,"23,068","2,656.49","1,025.68",22.643,8.743,"2,679.13","1,034.42",31.580332,–87.383266
AL,1101,Montgomery,Montgomery,"229,363","2,031.19",784.247,40.571,15.665,"2,071.76",799.912,32.203651,–86.203831
AL,1103,Morgan,Decatur,"119,490","1,500.48",579.337,51.065,19.716,"1,551.54",599.053,34.454484,–86.846402
AL,1105,Perry,Marion,"10,591","1,863.92",719.664,10.919,4.216,"1,874.84",723.88,32.639005,–87.293827
AL,1107,Pickens,Carrollton,"19,746","2,282.84",881.408,22.578,8.717,"2,305.42",890.125,33.296809,–88.096878
AL,1109,Pike,Troy,"32,899","1,740.72",672.094,2.363,0.912,"1,743.08",673.006,31.798726,–85.941997
AL,1111,Randolph,Wedowee,"22,913","1,503.62",580.55,9.285,3.585,"1,512.90",584.135,33.296475,–85.464068
AL,1113,Russell,Phenix City,"52,947","1,660.55",641.14,15.673,6.052,"1,676.22",647.192,32.289811,–85.186980
AL,1115,St. Clair,"Ashville, Pell City","83,593","1,636.62",631.902,56.3,21.738,"1,692.92",653.64,33.712963,–86.315663
AL,1117,Shelby,Columbiana,"195,085","2,032.96",784.93,63.701,24.595,"2,096.66",809.525,33.262937,–86.678104
AL,1119,Sumter,Livingston,"13,763","2,341.06",903.887,24.436,9.435,"2,365.49",913.322,32.597481,–88.200057
AL,1121,Talladega,Talladega,"82,291","1,908.24",736.775,60.944,23.531,"1,969.18",760.306,33.369277,–86.175805
AL,1123,Tallapoosa,Dadeville,"41,616","1,855.78",716.521,128.809,49.733,"1,984.59",766.254,32.863369,–85.799553
AL,1125,Tuscaloosa,Tuscaloosa,"194,656","3,423.33","1,321.76",76.396,29.497,"3,499.73","1,351.25",33.290202,–87.522860
AL,1127,Walker,Jasper,"67,023","2,049.18",791.192,36.264,14.002,"2,085.44",805.194,33.791571,–87.301092
AL,1129,Washington,Chatom,"17,581","2,797.72","1,080.21",21.651,8.359,"2,819.37","1,088.57",31.406974,–88.202078
AL,1131,Wilcox,Camden,"11,670","2,301.20",888.498,48.985,18.913,"2,350.19",907.411,31.99033,–87.302205
AL,1133,Winston,Double Springs,"24,484","1,587.61",612.979,48.923,18.889,"1,636.53",631.868,34.155888,–87.364147
AK,2013,Aleutians East,Sand Point,"3,141","18,083.15","6,981.94","20,792.21","8,027.92","38,875.36","15,009.86",55.243722,–161.950749
AK,2016,Aleutians West [4],—,"5,561","11,370.76","4,390.28","25,190.64","9,726.16","36,561.41","14,116.44",51.959447,–178.338813
AK,2020,Anchorage,Anchorage,"291,826","4,415.11","1,704.68",663.861,256.318,"5,078.97","1,961.00",61.177549,–149.274354
AK,2050,Bethel [4],—,"17,013","105,075.82","40,570.00","12,779.52","4,934.20","117,855.35","45,504.21",60.928916,–160.153350
AK,2060,Bristol Bay,Naknek,997,"1,304.95",503.843,993.83,383.72,"2,298.78",887.563,58.731373,–156.986612
AK,2068,Denali,Healy,"1,826","33,026.00","12,751.41",66.069,25.509,"33,092.07","12,776.92",63.682732,–150.026719
AK,2070,Dillingham [4],—,"4,847","48,092.91","18,568.78","6,077.22","2,346.43","54,170.14","20,915.21",59.824816,–158.602233
AK,2090,Fairbanks North Star,Fairbanks,"97,581","19,005.87","7,338.21",273.188,105.479,"19,279.06","7,443.69",64.690832,–146.599867
AK,2100,Haines,Haines,"2,508","6,005.15","2,318.60","1,053.88",406.903,"7,059.02","2,725.50",59.099905,–135.578102
AK,2105,Hoonah-Angoon [4],—,"2,150","19,489.44","7,524.92","8,778.09","3,389.24","28,267.52","10,914.15",58.076434,–135.185100
AK,2110,Juneau,Juneau,"31,275","6,997.97","2,701.93","1,429.58",551.962,"8,427.54","3,253.89",58.3727,–134.178781
AK,2122,Kenai Peninsula,Soldotna,"55,400","41,634.92","16,075.33","22,473.29","8,676.99","64,108.21","24,752.32",60.366373,–152.321973
AK,2130,Ketchikan Gateway,Ketchikan,"13,477","12,583.23","4,858.41","4,649.41","1,795.15","17,232.65","6,653.56",55.449938,–131.106685
AK,2150,Kodiak Island,Kodiak,"13,592","16,963.33","6,549.58","14,173.06","5,472.25","31,136.39","12,021.83",57.553611,–153.630911
AK,2164,Lake and Peninsula,King Salmon [5],"1,631","61,258.42","23,652.01","24,010.46","9,270.49","85,268.88","32,922.50",58.205065,–156.705188
AK,2170,Matanuska-Susitna,Palmer,"88,995","63,734.16","24,607.90","1,682.74",649.709,"65,416.90","25,257.61",62.182174,–149.407974
AK,2180,Nome [4],—,"9,492","59,470.69","22,961.76","13,768.01","5,315.86","73,238.70","28,277.62",64.783686,–164.188912
AK,2185,North Slope,Barrow,"9,430","229,720.05","88,695.41","15,801.18","6,100.87","245,521.23","94,796.28",69.449343,–153.472830
AK,2188,Northwest Arctic,Kotzebue,"7,523","92,132.57","35,572.58","13,406.69","5,176.35","105,539.25","40,748.94",67.005066,–160.021086
AK,2195,Petersburg [4],—,"3,815","8,500.29","3,281.98","6,221.37","2,402.08","14,721.66","5,684.07",56.639612,–133.527996
AK,2198,Prince of Wales-Hyder [4],—,"5,559","10,160.19","3,922.87","9,739.42","3,760.41","19,899.61","7,683.28",55.415683,–132.875734
AK,2220,Sitka,Sitka,"8,881","7,434.14","2,870.34","5,027.40","1,941.09","12,461.55","4,811.43",57.142509,–135.332624
AK,2230,Skagway,Skagway,968,"1,171.52",452.325,30.331,11.711,"1,201.85",464.036,59.575097,–135.335418
AK,2240,Southeast Fairbanks [4],—,"7,029","64,150.92","24,768.81",752.795,290.656,"64,903.71","25,059.46",63.864997,–143.218628
